Region,Entrance examination: (6/20/24 - 6/20/25)
Sing Buri,100
Ang Thong,90
Yala,67
Trang,64
Phatthalung,60
Sukhothai,56
Phayao,53
Si Sa Ket,48
Kamphaeng Phet,47
Nakhon Si Thammarat,45
Pattani,45
Buri Ram,45
Maha Sarakham,44
Roi Et,42
Sakon Nakhon,41
Udon Thani,39
Bangkok,38
Chaiyaphum,38
Ratchaburi,37
Kanchanaburi,36
Kalasin,36
Lopburi,36
Phra Nakhon Si Ayutthaya,36
Phetchabun,36
Phitsanulok,35
Surin,34
Chiang Rai,33
Songkhla,33
Saraburi,32
Chiang Mai,32
Prachuap Khiri Khan,32
Chon Buri,31
Rayong,31
Nakhon Ratchasima,30
Khon Kaen,30
Nakhon Pathom,28
Nakhon Sawan,27
Phuket,27
Nonthaburi,26
Chachoengsao,26
Suphan Buri,26
Pathum Thani,24
Samut Prakan,24
Ubon Ratchathani,24
Surat Thani,23
Samut Sakhon,21
Bueng Kan,3
Chumphon,2
Phetchaburi,2
Lampang,2
Loei,
Narathiwat,
Prachin Buri,
Phichit,
Tak,
Trat,
Chanthaburi,
Sa Kaeo,
Uthai Thani,
Mae Hong Son,
Samut Songkhram,
Nan,
Phrae,
Uttaradit,
Krabi,
Phang-nga,
Lamphun,
Yasothon,
Ranong,
Mukdahan,
Nakhon Phanom,
Satun,
Chai Nat,
Amnat Charoen,
Nong Bua Lam Phu,
Nong Khai,
Nakhon Nayok,
